,English,Hebrew
13376,['(psychology) transexuality'],טרנסקסואליות
13377,['transaction'],טרנסקציה
13378,['transcription'],טרנסקריפציה
13379,"['terrace', '(colloquial) balcony', 'patio']",טרסה
13380,['(commerce) trust'],טרסט
13381,"['to prey', 'to devour', 'to eat voraciously']",טרף
13382,['prey'],טרף
13383,"['(Jewish law) non-Kosher', 'ritually unfit for eating']",טרף
13384,"['to beat', 'to scramble (eggs)', 'to shuffle (cards)']",טרף
13385,['(botany) blade'],טרף
13386,"[""to put a spoke in someone's wheel"", 'to wreck (plan etc.)', 'to thwart']",טרפד
13387,"[""to have a spoke put in one's wheel"", 'to be thwarted']",טרפד
13388,['(Jewish law) food ritually unfit for eating'],טרפה
13389,"['torpedoing', ""putting a spoke in someone's wheel"", 'wrecking (plan etc.)', 'thwarting']",טרפוד
13390,"['(geometry) trapezoid', 'trapezium (archaic)', '(sport, circus) trapeze']",טרפז
13391,['(chemistry) turpentine'],טרפנטין
13392,"['(music) terza', 'terza rima']",טרצה
13393,"['to slam (door, window)']",טרק
13394,['trek'],טרק
13395,"['recording track', 'track (disc, record)']",טרק
13396,['terracotta'],טרקוטה
13397,['tractor'],טרקטור
13398,"['ATV', 'All-Terrain Vehicle']",טרקטורון
13399,['tractate'],טרקטט
13400,"['hall', 'drawing room', 'parlor']",טרקלין
13401,['terrarium'],טרריום
13402,"['rocky', 'stony']",טרשי
13403,['rocky ground'],טרשים
13404,"['(pathology) sclerosis', '(colloquial) disseminated sclerosis']",טרשת
13405,['(medicine) sclerotic'],טרשתי
13406,['(biblical and literary) to fly'],טש
13407,"['confusion', 'lack of concentration', 'disorientation', 'befuddlement', 'partial obliteration', 'effacement', 'erasure']",טשטוש
13408,"['(slang) daydreamer', 'woolgatherer']",טשטוש
13409,"['to blur', 'to make indistinct', 'to cover up', 'to hide', '(slang) to befog']",טשטש
13410,"['to be made blurry', 'to be made indistinct']",טשטש
13411,['Tashkent'],טשקנט
13412,"['Yod', 'Yud (tenth letter of Hebrew alphabet)', 'ten']",י
13413,['twelve'],"י""ב"
13414,['thirteen'],"י""ג"
13415,['seventeen'],"י""ז"
13416,['eighteen'],"י""ח"
13417,['nineteen'],"י""ט"
13418,"['befitting', 'becoming', 'suitable', 'right', 'proper']",יאה
13419,['Javanese (language)'],יאוית
13420,['(biblical) Nile'],יאור
13421,"['despair', 'despondency']",יאוש
13422,"['fitting', 'appropriate', 'suitable']",יאות
13423,"['fitting', 'appropriate', 'suitable']",יאות
13424,"['fitting', 'appropriate', 'suitable']",יאות
13425,"[""Ya'ir (Hebrew name)""]",יאיר
13426,"['(Arabic) (slang) go', 'get going', 'get a move on']",יאללה
13427,['(Chinese philosophy) yang'],יאנג
13428,['yuppie (also: yuppy)'],יאפי
13429,['yuppie (also: yuppy)'],יאפי
13430,"['to cause despair', 'to cause despondency']",יאש
13431,['to import'],יבא
13432,['imported'],יבא
13433,"['to sob', 'to wail', 'to howl (jackal, coyote etc.)', 'to howl', 'to shriek (wind)', '(colloquial) to complain', 'to whine', 'to grumble']",יבב
13434,"['(flowery) wailing', 'sobbing', 'ululation']",יבבה
13435,"['wailing', 'lamenting', 'sobbing']",יבבני
13436,['May he live long! Long life to him!'],יבדל לחיים (ארכים)
13437,"['importing', 'importation', 'imports', 'imported goods']",יבוא
13438,"['importing', 'importation']",יבוא
13439,['importer'],יבואן
13440,"['wailing', 'howling', 'lament']",יבוב
13441,"['produce', 'crop', 'yield']",יבול
13442,"[""(Jewish law) levirate marriage (the marriage of a man to his late brother's childless widow)""]",יבום
13443,['Jebusite (person)'],יבוסי
13444,['Jebusite'],יבוסי
13445,"['drying', 'drying out', 'drying up', '(slang) withholding vital material from someone']",יבוש
13446,"['gnat', 'midge']",יבחוש
13447,"['transportable', 'movable']",יביל
13448,['portability'],יבילות
13449,['couch grass'],יבלית
13450,"['corn', 'callus', 'callosity', 'wart']",יבלת
13451,['to perform levirate marriage'],יבם
13452,['(Jewish law) brother-in-law (brother of deceased childless husband)'],יבם
13453,['(Jewish law) childless widow awaiting Levirate marriage'],יבמה
13454,['Yevamot (talmudic tractate)'],יבמות
13455,['Yavneh (city)'],יבנה
13456,"['dry', 'dried out', 'dried up', 'arid', 'shrill', 'desiccated', '(colloquial) boring', 'monotonous', 'humorless']",יבש
13457,"['to dry out', 'to become dry']",יבש
13458,"['dryness', 'monotony', 'sameness']",יבש
13459,"['to dry', 'to dry out', 'to dry up']",יבש
13460,"['to be dried', 'to be dehydrated']",יבש
13461,"['land', 'dry land']",יבשה
13462,"['dry', 'dryish', 'juiceless', 'dull', 'lifeless', 'boring']",יבשושי
13463,['(literary) dryness'],יבשות
13464,['continent'],יבשת
13465,"['dryness', 'indifference', 'unemotionality', 'coldness', '(biblical) aridity', 'dryness']",יבשת
13466,"['of land', 'continental']",יבשתי
13467,"[""Yig'al (Hebrew name)""]",יגאל
13468,['jaguar'],יגואר
13469,"['(flowery) grief', 'sorrow', 'sadness']",יגון
13470,"['making exhausted', 'making fatigued']",יגוע
13471,"['(flowery) hard work', 'travail', 'exertion']",יגיע
13472,"['exertion', 'effort', 'pains']",יגיעה
13473,"['to fatigue', 'to tire', 'to weary']",יגע
13474,"['labor', 'effort', 'hard work']",יגע
13475,"['to work hard', 'to exert oneself', 'to toil', 'to labor', 'to be wearied', 'to be fatigued']",יגע
13476,"['weary', 'fatigued', 'worn out']",יגע
13477,"['(flowery) fatigue', 'weariness', 'collapse']",יגעות
13478,"['(literary) to fear', 'to be in awe']",יגר
13479,"['arm', 'hand', 'forelimb', 'pointer (Torah reading)', 'hand (card games)', '(football) hand foul', '(talmudic) backrest', '(biblical) projection', 'bump', '(biblical) designated area', 'ביד - (biblical) by means of', 'through', 'via']",יד
13480,"['memorial', 'shrine']",יד
13481,"['(slang) ""one hand washes the other""']",יד רוחצת יד
13482,"['to throw (esp. stones)', 'to hurl']",ידה
13483,['to be thrown (esp. stones)'],ידה
13484,['(biblical) to throw'],ידה
13485,"['throwing', 'hurling (esp. stones)']",ידוי
13486,"['muff', 'handwarmer']",ידונית
13487,"['(linguistics) turning indefinite into definite', 'definiteness', 'informing', 'making aware']",ידוע
13488,"['known', 'famous', 'certain', 'specific', '(archaic) some', 'a certain amount', 'known to', 'one is aware of', 'known for', 'known as', 'famous for', 'known that', 'בידוע - (scholarly) known that', 'כידוע - as everybody knows', 'as is well known']",ידוע
13489,['celebrity'],ידוען
13490,"['friend', 'comrade']",ידיד
13491,['friendship'],ידידות
13492,"['friendly', 'sociable', '(computing) user-friendly']",ידידותי
13493,"['sociably', 'in a friendly manner']",ידידותית
13494,['Yedidiah (Hebrew name)'],ידידיה
13495,['Yadaim (Talmudic tractate)'],ידים
13496,"['information', 'news item', 'knowledge', 'awareness', 'understanding', 'בידיעתו - with his knowledge', 'לידיעה - attention (in correspondence)', 'לידיעתך - for your information', 'FYI']",ידיעה
13497,"['bulletin', 'newsletter']",ידיעון
13498,['handle'],ידית
13499,['manual'],ידני
13500,"['manually', 'by hand']",ידנית
13501,"['to know something', 'to be aware', 'to know how to', 'to be familiar with', 'to undergo', '(flowery) to recognize', 'to be familiar with', '(biblical) to have sexual intercourse']",ידע
13502,['knowledge'],ידע
13503,"['to inform', 'to update', '(linguistics) to specify a noun as definite']",ידע
13504,"['to be told', 'to be made aware', 'to be informed']",ידע
13505,"['soothsayer', 'magician', 'necromancer', 'wizard']",ידעוני
13506,"['erudite person', 'knowledgeable person', 'erudite person']",ידען
13507,"['erudition', 'know-how', 'expertise', 'knowledge', 'knowledgeableness']",ידענות
13508,"['erudite', 'knowledgeable']",ידעני
13509,"['(slang) Oh dear!', 'Oh no!', '(slang) Wow!', 'Gee!', 'Gosh!']",יה
13510,['(Aramaic) will be'],יהא
13511,['(literary) give! bring!'],יהב
13512,"['(literary, rare) hope']",יהב
13513,"['to Judaize', 'to proselytize', 'to convert someone to Judaism']",יהד
13514,"['to be converted to Judaism', 'to be proselytized']",יהד
13515,"['Judaism', 'Jewry']",יהדות
13516,"['Judaization', 'proselytization']",יהוד
13517,['Yehuda (also: Judah) (Hebrew name)'],יהודה
13518,['Judea'],יהודה
13519,['Judah (one of the twelve tribes of Israel)'],יהודה
13520,['Judea and Samaria'],יהודה ושומרון
13521,"['(derogatory) little Jew', 'Jew boy', 'Yid', 'Kike']",יהודון
13522,['Jewish'],יהודי
13523,"['Jew', '(biblical) Judean', '(archaic) guy', 'person']",יהודי
13524,['Jewishness'],יהודיות
13525,"['Yehudit', 'Judith (Hebrew name)']",יהודית
13526,"['(biblical) Hebrew (language)', '(literary) Yiddish']",יהודית
13527,"['(biblical) Jehovah', 'God', 'the Lord']",יהוה
13528,['Jonathan (Hebrew name)'],יהונתן
13529,['Yehoram (Hebrew name)'],יהורם
13530,"[""Yehoshua (also: Yehoshu'a, Joshua) (Hebrew name)""]",יהושע
13531,['Joshua (book of the Bible)'],יהושע
13532,"['arrogant', 'conceited', 'haughty']",יהיר
13533,"['arrogance', 'haughtiness']",יהירות
13534,"['diamond', ""(biblical) one of the twelve precious stones in the High Priest's breast plate""]",יהלום
13535,['diamond dealer'],יהלומן
13536,"['arrogance', 'haughtiness', 'hubris', 'excessive self-confidence']",יהרה
13537,['Yoav (Hebrew name)'],יואב
13538,['Joel (Hebrew name)'],יואל
13539,['Joel (book of the Bible)'],יואל
13540,"['jubilee', 'fiftieth anniversary', 'anniversary', '(Jewish law) fiftieth year jubilee', 'יובלות - (colloquial) ages', 'eons']",יובל
13541,"['river', 'tributary', 'creek']",יובל
13542,['Yuval (Hebrew name)'],יובל
13543,"[""(biblical) ram's horn""]",יובל
13544,['jubilee'],יובלי
13545,"['(archaic) farmer', '']",יוגב
13546,['yoga'],יוגה
13547,['Yugoslavian (person)'],יוגוסלבי
13548,['Yugoslavian'],יוגוסלבי
13549,['Yugoslavia'],יוגוסלביה
13550,['yogurt'],יוגורט
13551,['yogi'],יוגי
13552,['iodine'],יוד
13553,['Yod (tenth letter of Hebrew alphabet)'],יוד
13554,['Judaica'],יודאיקה
13555,['Judophobia'],יודופוביה
13556,['(chemistry) iodide'],יודיד
13557,['yodel'],יודל
13558,['(Holocaust history) Judenrat (Jewish administrative council in a ghetto)'],יודנרט
13559,['Java'],יוה
13560,['Johannesburg'],יוהנסבורג
13561,['Hellenization'],יוון
13562,"['initiator', 'promoter']",יוזם
13563,"['initiative', 'initiatory']",יוזמני
13564,['Yohai (Hebrew name)'],יוחאי
13565,['Yochanan (Hebrew name)'],יוחנן
13566,"['family tree', 'genealogy', 'pedigree']",יוחסין
13567,['jute'],יוטה
13568,['Utah'],יוטה
13569,['iota (the ninth letter of the Greek alphabet)'],יוטה
13570,['yo-yo (trade mark)'],יויו
13571,"['woman in confinement', 'woman giving birth', '(flowery) mother']",יולדת
13572,['July'],יולי
13573,['Julian'],יוליאני
13574,"['day (cf. night)', 'day (calendar day, 24-hour period)', 'ימים - days', 'period', 'time', 'לימים - eventually', 'in time']",יום
13575,"['Day of Judgment', 'Jewish New Year', 'Rosh Hashana', 'judgment day']",יום הדין
13576,"['birthday', 'birthday party', 'birthday celebration']",יום הלדת
13577,['anniversary'],יום השנה
13578,['Thursday'],יום חמישי
13579,"['(talmudic, Jewish law) Jewish religious festival']",יום טוב
13580,['(colloquial) have a nice day !'],יום טוב
13581,['(Jewish ritual) additional festival day (of Jews in Diaspora)'],יום טוב שני של גליות
13582,"['(Judaism) Yom Kippur', 'Day of Atonement']",יום כפור
13583,"['(Jewish ritual) Yom Kippur Katan', 'minor Day of Atonement (a practice on the day preceding each Rosh Chodesh)']",יום כפור קטן
13584,['Sunday'],יום ראשון
13585,['Wednesday'],יום רביעי
13586,"['Saturday', 'Sabbath', 'Shabbat']",יום שבת
13587,['Tuesday'],יום שלישי
13588,['Monday'],יום שני
13589,['Friday'],יום ששי
13590,['(Aramaic) day (only in phrases)'],יומא
13591,['Yoma (Talmudic tractate)'],יומא
13592,['(colloquial) birthday'],יומולדת
13593,['daily (newspaper)'],יומון
13594,"['daily', 'diurnal', 'daytime', 'matinee']",יומי
13595,['daily'],יומיום
13596,"['day-to-day', 'everyday']",יומיום
13597,['daily'],יומיומי
13598,"['routine', 'everyday', 'dailiness']",יומיומיות
13599,['HUMINT (human intelligence)'],יומינט
13600,"[""(slang) day's salary"", 'matinee (theater)']",יומית
13601,['daily'],יומית
13602,['commuter'],יומם
13603,"['(flowery) by day', 'in the daytime']",יומם
13604,['to commute'],יומם
13605,['commuting'],יוממות
13606,"['diary', 'appointment calendar', 'daily news broadcast', '(computing) log', 'statistical record', 'journal']",יומן
13607,"['duty officer (police)', 'desk sergeant']",יומנאי
13608,['Greece'],יון
13609,"['(biblical) mud', 'dirt', 'filth']",יון
13610,"['dove', 'pigeon (male)']",יון
13611,['(physics) ion'],יון
13612,['pigeoneer (a person who trains or breeds homing pigeons)'],יונאי
13613,"['dove', 'pigeon']",יונה
13614,['Yona (also: Jonah) (Hebrew name)'],יונה
13615,['Jonah (Book of the Bible)'],יונה
13616,['ionosphere'],יונוספרה
13617,['Greek (person)'],יוני
13618,['Greek'],יוני
13619,['June (month)'],יוני
13620,['(politics) dovish'],יוני
13621,['Yoni (Hebrew name)'],יוני
13622,"['Ionian', '(architecture) Ionic']",יוני
13623,['Ionian (person)'],יוני
13624,['ionization'],יוניזציה
13625,['unisex'],יוניסקס
13626,['unicorn'],יוניקורן
13627,['Greek (language)'],יונית
13628,"['mammal', 'newborn', 'infant']",יונק
13629,['(biology) mammals'],יונקים
13630,"['(botany) sucker', 'young shoot']",יונקת
13631,['Jonathan (Hebrew name)'],יונתן
13632,['Houston'],יוסטון
13633,['Yossi (Hebrew name)'],יוסי
13634,"['Yosef', 'Joseph (Hebrew name)']",יוסף
13635,['Joseph (one of the twelve biblical tribes of Israel)'],יוסף
13636,"['consultant', 'adviser', 'school counselor']",יועץ
13637,['Jupiter (Roman god)'],יופיטר
13638,['euphemism'],יופמיזם
13639,"['native of', 'ex-']",יוצא
13640,"['creator', 'maker', 'producer']",יוצר
13641,"['creative', 'inventive', 'productive']",יוצר
13642,['(Judaism) Piyuttim (liturgical hymns)'],יוצרות
13643,"['blazing', 'burning (sun)', 'glowing', 'gleaming (eyes)']",יוקד
13644,['Yokohama'],יוקוהמה
13645,['Yukon'],יוקון
13646,['Yucatan'],יוקטן
13647,['(biblical) trapper'],יוקש
13648,['emigrant (from Israel)'],יורד
13649,['first rain'],יורה
13650,['shooter'],יורה
13651,"['(talmudic) cauldron', 'large pot', 'kettle']",יורה
13652,['(geology) Jurassic'],יורה
13653,['Euro (currency)'],יורו
13654,"['Euro- (Eurocheque, Eurovision)']",יורו
13655,"['juridical', 'legal', 'judicial']",יורידי
13656,['heuristic'],יוריסטי
13657,['heuristics'],יוריסטיקה
13658,['Yoram (Hebrew name)'],יורם
13659,"['(slang) nerd', 'conformist', '""square""', 'strait-laced person']",יורם
13660,"['(slang) conformist', '""square""', 'strait-laced']",יורמי
13661,"['heir', 'successor']",יורש
13662,"['inhabitant', 'dweller', 'resident']",יושב
13663,"['chairman', 'chairperson']",יושב ראש
13664,['Speaker of the Knesset'],יושב ראש הכנסת
13665,['sedentary'],יושבני
13666,['Yotam (Hebrew name)'],יותם
13667,"['more', 'more than', 'ביותר - most', 'ויותר - ... and more']",יותר
13668,"['more than enough', 'too much', 'too many']",יותר מדי
13669,['Yizhar (Hebrew name)'],יזהר
13670,['initiated'],יזום
13671,['initiating'],יזום
13672,['Yezidi (also: Yazidi)'],יזידי
13673,['(Judaism) memorial prayer'],יזכר
13674,"['to initiate', 'to plan', 'to set in motion']",יזם
13675,"['entrepreneur', 'initiator', 'promoter']",יזם
13676,['-ism (e.g. humanism)'],יזם
13677,['initiative'],יזמה
13678,"['initiative', 'entrepreneurship']",יזמות
13679,['initiatory'],יזמי
13680,"['(flowery) sweat', 'perspiration']",יזע
13681,"['to designate', 'to set aside', 'to dedicate', 'to individualize']",יחד
13682,"['together', 'altogether', 'in total']",יחד
13683,"['to be designated', 'to be set aside', 'to be dedicated']",יחד
13684,['coalition'],יחדה
13685,['together'],יחדו
13686,['coalitional'],יחדני
13687,"['uniqueness', 'designation', 'selection']",יחוד
13688,"['unique', 'matchless', 'inimitable']",יחודי
13689,['uniqueness'],יחודיות
13690,"['anticipation', 'hope', 'expectation']",יחול
13691,"['(zoology) rut', 'estrus', '""heat""', 'sexual excitation']",יחום
13692,"['genealogy', 'pedigree', 'ascription', 'attribution']",יחוס
13693,['referential'],יחוסי
13694,"['(botany) cutting', 'shoot', 'twig']",יחור
13695,"['Yechezkel', 'Ezekiel (Hebrew name)']",יחזקאל
13696,['Ezekiel (Book of the Bible)'],יחזקאל
13697,['Long Live!'],יחי
13698,['Yichya (Hebrew name)'],יחיא
13699,['Yechiel (Hebrew name)'],יחיאל
13700,"['alone', 'one', 'only']",יחיד
13701,"['individual', '(grammar) singular']",יחיד
13702,"['unique', 'hapax legomenon (a word or phrase occurring only once in a specific text)']",יחידאי
13703,['unit'],יחידה
13704,['astronomical unit'],יחידה אסטרונומית
13705,"['solitariness', 'privacy', '(literary) uniqueness', 'oneness', 'ביחידות - (Judaism) prayer alone', 'prayer without a quorum']",יחידות
13706,['alone'],יחידי
13707,['alone'],יחידי
13708,"['individual', 'distinct', 'discrete']",יחידני
13709,['(military) unit'],יחידתי
13710,"['to hope for', 'to await', 'to look forward to']",יחל
13711,['to arouse (sexually)'],יחם
13712,['fallow deer'],יחמור
13713,"['(Yiddish) busybody', 'chatterbox', 'gossip']",יחנה
13714,"['attitude', 'relation', 'treatment', '(mathematics) ratio', '(talmudic) breeding', 'pedigree', 'family background', 'יחסים - relations', 'interaction', 'association']",יחס
13715,"['to attribute', 'to ascribe']",יחס
13716,"['to be attributed', 'to be ascribed']",יחס
13717,['(linguistics) accusative case'],יחס הפעול
13718,['(linguistics) case'],יחסה
13719,"['relative', 'dependant']",יחסי
13720,"['sexual relations', 'intercourse']",יחסי מין
13721,['public relations'],יחסי צבור
13722,['relativity'],יחסיות
13723,"['family tree', 'genealogy', 'pedigree']",יחסין
13724,['relatively'],יחסית
13725,"['(colloquial) member of distinguished family', 'one who puts on airs', 'snob']",יחסן
13726,['barefoot'],יחף
13727,"['hooligan', 'ragamuffin']",יחפן
13728,"['to be good', 'to be pleasing (used only in the future tense)']",יטב
13729,"['iatrogenic', 'resulting from medical treatment']",יטרוגני
13730,"['God', 'the Lord']",יי
13731,['Yiddisher'],יידי
13732,['Yiddish'],יידיש
13733,['Yiddisher'],יידישאי
13734,['(Yiddish) (colloquial) Jewish traditional and religious observance'],יידישקיט
13735,['wine'],יין
13736,['(Chinese philosophy) yin'],יין
13737,['(Jewish law) wine of non-Jews'],יין נסך
13738,['(flowery) wine-like'],ייני
13739,"['winemaker', 'vintner']",יינן
13740,['yacht'],יכטה
13741,"['to be able', 'to be allowed', 'it may', 'possibly', 'could have']",יכל
13742,['potential'],יכלה
13743,"['ability', 'ביכולתו - within his power', 'he is able']",יכלת
13744,['Yale (lock)'],יל
13745,['to give birth'],ילד
13746,"['son', 'boy', 'child', 'kid', '(colloquial) childish person']",ילד
13747,['to deliver (baby)'],ילד
13748,"['to be delivered (baby)', '(biblical) to be born']",ילד
13749,"['girl', 'daughter', '(colloquial) childish person (female)']",ילדה
13750,"['births', 'birthrate']",ילדה
13751,"['small child (male)', 'little boy']",ילדון
13752,['childhood'],ילדות
13753,"['childish', 'infantile', 'juvenile']",ילדותי
13754,"['childishness', 'infantility']",ילדותיות
13755,"['childlike', 'belonging to childhood']",ילדי
13756,"['small child (female)', 'little girl']",ילדנת
13757,"['(biblical) child', 'infant', 'offspring', '(talmudic) newborn']",ילוד
13758,"['midwifery', 'obstetrics']",ילוד
13759,"['newborn', 'neonate']",ילוד
13760,['born'],ילוד
13761,"['wailing', 'lamenting', 'weeping']",ילול
13762,"['native of (place)', 'born in (place, date)', '(flowery) product of ...']",יליד
13763,"['native', 'indigenous']",ילידי
13764,"['to wail', 'to yowl', 'to howl', 'to weep', 'to lament', '(slang) to complain', 'to whinge (British)']",ילל
13765,"['wailing', 'howling', 'keening']",ילל
13766,"['yowling (esp. cat)', 'wailing', 'howling', 'keening']",יללה
13767,"['lichen', 'lichen planus']",ילפת
13768,"['(biblical) locust', 'larva']",ילק
13769,"['satchel', 'bag', 'schoolbag', 'rucksack', 'pouch', 'anthology', 'collection']",ילקוט
13770,"['ocean', 'sea', '(biblical) West', 'abundance', 'plethora', 'profusion']",ים
13771,['Dead Sea'],ים המלח
13772,['Red Sea'],ים סוף
13773,['seamanship'],ימאות
13774,"['sailor', 'seaman']",ימאי
13775,"['(slang) huge amount', 'lots']",ימבה
13776,['(prosody) iambic'],ימבי
13777,"['lake', 'inland sea']",ימה
13778,['Yamoussoukro'],ימוסוקרו
13779,"['oceanic', 'sea', 'marine']",ימי
13780,['related to middle ages'],ימיבינימי
13781,"['navy', 'fleet', 'flotilla']",ימיה
13782,"['Jemima', 'Yemima (Hebrew name)']",ימימה
13783,"['right', 'right hand', 'right arm', 'הימין - (politics) right', 'right-wing', 'ימינה - to the right', 'rightward', ""לימין - at one's side""]",ימין
13784,"['(rare form) right', '(biblical) of the tribe of Benjamin']",ימיני
13785,"['day', '24-hour period']",יממה
13786,"['day', '24-hour period']",יממה
13787,"['right', 'right-handed', '(politics) right-wing', 'ימנית - (boxing) right']",ימני
13788,['(colloquial) Yemenite (person)'],ימני
13789,"['(politics) right-wingedness', 'conservatism']",ימניות
13790,['pretension'],ימרה
13791,['pretentiousness'],ימרנות
13792,['pretentious'],ימרני
13793,['yen (currency)'],ין
13794,['Yannai (Hebrew name)'],ינאי
13795,['prosopis (plant)'],ינבוט
13796,['January'],ינואר
13797,['may he rest in peace'],ינוח בשלום על משכבו
13798,['Yinon (Hebrew name)'],ינון
13799,['(physics) ionization'],ינון
13800,"['(Aramaic) baby', 'child', 'youth']",ינוקא
13801,['Yaniv (name)'],יניב
13802,"['suckling', 'breast feeding', 'nursing', 'absorption', 'suction (fluid)', 'absorption (ideas, influence)']",יניקה
13803,['Yanir (Hebrew name)'],יניר
13804,['(physics) to ionize'],ינן
13805,"['to suckle', 'to nurse', 'to breast feed', 'to suck up', 'to absorb', 'to imbibe (ideas, influence)']",ינק
13806,"['infancy', 'babyhood']",ינקות
13807,"['infantile', 'babyish', 'of childhood']",ינקותי
13808,['Yankee'],ינקי
13809,['owl'],ינשוף
13810,"['owl-like', 'owlish', '']",ינשופי
13811,"['to found', 'to establish', '(scholarly) to base', 'to derive']",יסד
13812,"['to be founded', 'to be established', 'to be based']",יסד
13813,"['(rare form) to found', 'to establish']",יסד
13814,"['founding', 'establishment']",יסוד
13815,"['basis', 'essence', '(chemistry) element', '(flowery) origin', 'extraction', 'יסודות - foundations']",יסוד
13816,"['thorough', 'comprehensive', 'complete']",יסודי
13817,"['(colloquial) junior school', 'elementary school']",יסודי
13818,"['thoroughness', 'comprehensiveness', 'ביסודיות - completely', 'exhaustively', 'comprehensively']",יסודיות
13819,"['(rare) thoroughly', 'comprehensively', 'exhaustively']",יסודית
13820,['(economics) revaluation'],יסוף
13821,"['tormenting', 'causing pain']",יסור
13822,"['tribulations', 'torments', 'suffering']",יסורים
13823,['jasmine'],יסמין
13824,"['petrel', 'shearwater', '(Israel army) Sikorsky CH 53 helicopter']",יסעור
13825,['to be revalued'],יסף
13826,"['(flowery) to add', 'to augment']",יסף
13827,['to revalue'],יסף
13828,"['to torment', 'to cause pain', 'to chastise', 'to punish']",יסר
13829,"['to be chastised', 'to be punished', 'to be tormented']",יסר
13830,"['aim', 'purpose', 'objective', 'target', 'destination']",יעד
13831,"['to designate', 'to specify', 'to appoint', 'to nominate', 'to select']",יעד
13832,"['to designate', 'to specify', 'to appoint', 'to nominate', 'to select']",יעד
13833,"['to be designated', 'to be specified', 'to be appointed', 'to be nominated', 'to be selected']",יעד
13834,"['shovel', 'dustpan']",יעה
13835,"['appointed', 'determined', 'designated']",יעוד
13836,"['assignment', 'designation', 'mission']",יעוד
13837,"['(accounting) fund', 'segregated account']",יעודה
13838,"['related to a mission', 'to a task', 'to an assignation']",יעודי
13839,"['making efficient', 'improving']",יעול
13840,"['consultation', 'advice', 'consultancy']",יעוץ
13841,['afforestation'],יעור
13842,['gobex (goat-ibex)'],יעז
13843,"['efficient', 'effective']",יעיל
13844,"['effectiveness', 'efficiency']",יעילות
13845,['to be made efficient'],יעל
13846,['to make efficient'],יעל
13847,['ibex'],יעל
13848,['Yael (Hebrew name)'],יעל
13849,"['ibex (female)', '(flowery) graceful woman']",יעלה
13850,['ostrich'],יען
13851,"['since', 'because', 'for the reason that']",יען
13852,"['(Arabic) (slang) that is', 'as if']",יעני
13853,"['flight', 'path (of a ball)']",יעף
13854,"['sortie', 'flight', 'fly-past']",יעף
13855,"['(flowery) tired', 'weary']",יעף
13856,"['flight', 'path (of a ball)']",יעף
13857,['jet lag'],יעפת
13858,"['to advise', 'to provide consultation']",יעץ
13859,"['to advise', 'to provide consultation']",יעץ
13860,"['reference (reference book, reference library etc.)']",יעץ
13861,"['Jacob', ""Ya'akov (Hebrew name)""]",יעקב
13862,"['forest', 'woods']",יער
13863,"['to afforest', 'to plant a forest']",יער
13864,['to be afforested'],יער
13865,['honeycomb'],יערה
13866,['honeysuckle'],יערה
13867,['field mouse'],יערון
13868,"['wooded', 'forest-like']",יערי
13869,"['forest ranger', 'forester']",יערן
13870,['forestry'],יערנות
13871,"['to beautify', 'to decorate', 'to glamorize', 'to embellish', 'to gild']",יפה
13872,"['to be beautified', 'to be decorated', 'to be glamorized', 'to be embellished', 'to be gilded']",יפה
13873,"['pretty', 'beautiful', 'nice', 'pleasant', 'enjoyable', 'high quality', 'superior', 'good for', 'suitable for']",יפה
13874,"['well', 'correctly', 'fairly', 'politely']",יפה
13875,['Excellent! Well done! Bravo!'],יפה
13876,['good looking person'],יפה
13877,"['to beautify', 'to improve (appearance)']",יפה
13878,"['handsome', 'beautiful']",יפה תאר
13879,"['very beautiful', 'extremely pretty', 'gorgeous', 'very attractive (person)']",יפהפה
13880,['Jaffa'],יפו
13881,"['beautification', 'adornment']",יפוי
13882,"['(flowery) sobbing', 'wailing', 'keening']",יפחה
13883,"['(literary) wailing', 'crying', '']",יפחני
13884,"['beauty', '(slang) a beauty!', 'ליופי - for decoration', 'for adornment']",יפי
13885,"['(colloquial) O.K.', 'great!', 'excellent', '(slang) (sarcastic) great!']",יפי
13886,"['beautification', 'titivation']",יפיוף
13887,"['very beautiful', 'extremely pretty', 'gorgeous', 'very attractive (person)']",יפיפה
13888,['Japan'],יפן
13889,['Japanese'],יפני
13890,['Japanese (person)'],יפני
13891,['Japanese (language)'],יפנית
13892,"['(flowery) splendor', 'brilliance']",יפעה
13893,"[""Yif'at (Hebrew name)""]",יפעת
13894,['glasswort (plant)'],יפרוק
13895,['Yifrach (Hebrew name)'],יפרח
13896,['Yefet (Hebrew name)'],יפת
13897,['Yiftach (also: Jephthah) (Hebrew name)'],יפתח
13898,"['to go outside', 'to exit', 'to leave (esp. country, state)', 'to leave for', 'to emanate from', 'to emerge from', 'to depart', 'to break out', 'to come forth', 'to appear (sun, moon)', 'to terminate (Sabbath, Festival)', '(literary) to pass (time)', 'to escape from', 'to overcome', 'to originate from', 'to be derived from', 'to be based on', 'it follows', 'the result is', 'the upshot is', 'to be published', 'to announce', 'to come out in public', 'to so happen', 'to turn out that']",יצא
13899,['to export'],יצא
13900,['to be exported'],יצא
13901,['(colloquial) to come out of the closet'],יצא מן הארון
13902,['prostitution'],יצאנות
13903,['prostitute'],יצאנית
13904,"['to stabilize', 'to strengthen', 'to make firm']",יצב
13905,"['to be stabilized', 'to be strengthened', 'to be made firm']",יצב
13906,"['to express', 'to give expression to', 'to represent', 'to act for']",יצג
